Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-59,44:12:44:6b:68:30,IllinoisNet
wap-0563-59,44:12:44:6b:68:31,eduroam
wap-0563-59,44:12:44:6b:68:32,IllinoisNet_Guest
wap-0563-59,44:12:44:6b:68:12,IllinoisNet_Guest
wap-0563-59,44:12:44:6b:68:11,eduroam
wap-0563-59,44:12:44:6b:68:10,IllinoisNet
wap-0563-60,44:12:44:6e:7b:21,eduroam
wap-0563-60,44:12:44:6e:7b:20,IllinoisNet
wap-0563-60,44:12:44:6e:7b:22,IllinoisNet_Guest
wap-0563-60,44:12:44:6e:7b:02,IllinoisNet_Guest
wap-0563-60,44:12:44:6e:7b:01,eduroam
wap-0563-60,44:12:44:6e:7b:00,IllinoisNet
wap-0563-61,44:12:44:6a:76:80,IllinoisNet
wap-0563-61,44:12:44:6a:76:82,IllinoisNet_Guest
wap-0563-61,44:12:44:6a:76:81,eduroam
wap-0563-61,44:12:44:6a:76:62,IllinoisNet_Guest
wap-0563-61,44:12:44:6a:76:61,eduroam
wap-0563-61,44:12:44:6a:76:60,IllinoisNet
wap-0563-62,44:12:44:6d:3f:90,IllinoisNet
wap-0563-62,44:12:44:6d:3f:91,eduroam
wap-0563-62,44:12:44:6d:3f:92,IllinoisNet_Guest
wap-0563-62,44:12:44:6d:3f:72,IllinoisNet_Guest
wap-0563-62,44:12:44:6d:3f:70,IllinoisNet
wap-0563-62,44:12:44:6d:3f:71,eduroam
wap-0563-63,44:12:44:6c:0b:20,IllinoisNet
wap-0563-63,44:12:44:6c:0b:21,eduroam
wap-0563-63,44:12:44:6c:0b:22,IllinoisNet_Guest
wap-0563-63,44:12:44:6c:0b:00,IllinoisNet
wap-0563-63,44:12:44:6c:0b:02,IllinoisNet_Guest
wap-0563-63,44:12:44:6c:0b:01,eduroam
wap-0563-64,44:12:44:6a:61:e0,IllinoisNet
wap-0563-64,44:12:44:6a:61:e2,IllinoisNet_Guest
wap-0563-64,44:12:44:6a:61:e1,eduroam
wap-0563-64,44:12:44:6a:61:c0,IllinoisNet
wap-0563-64,44:12:44:6a:61:c2,IllinoisNet_Guest
wap-0563-64,44:12:44:6a:61:c1,eduroam
wap-0563-65,44:12:44:6a:15:90,IllinoisNet
wap-0563-65,44:12:44:6a:15:92,IllinoisNet_Guest
wap-0563-65,44:12:44:6a:15:91,eduroam
wap-0563-65,44:12:44:6a:15:72,IllinoisNet_Guest
wap-0563-65,44:12:44:6a:15:71,eduroam
wap-0563-65,44:12:44:6a:15:70,IllinoisNet
wap-0563-66,44:12:44:6a:d9:50,IllinoisNet
wap-0563-66,44:12:44:6a:d9:51,eduroam
wap-0563-66,44:12:44:6a:d9:52,IllinoisNet_Guest
wap-0563-66,44:12:44:6a:d9:30,IllinoisNet
wap-0563-66,44:12:44:6a:d9:32,IllinoisNet_Guest
wap-0563-66,44:12:44:6a:d9:31,eduroam
wap-0563-67,44:12:44:6d:5c:10,IllinoisNet
wap-0563-67,44:12:44:6d:5c:11,eduroam
wap-0563-67,44:12:44:6d:5c:12,IllinoisNet_Guest
wap-0563-67,44:12:44:6d:5b:f0,IllinoisNet
wap-0563-67,44:12:44:6d:5b:f1,eduroam
wap-0563-67,44:12:44:6d:5b:f2,IllinoisNet_Guest
wap-0563-68,44:12:44:6c:84:10,IllinoisNet
wap-0563-68,44:12:44:6c:84:12,IllinoisNet_Guest
wap-0563-68,44:12:44:6c:84:11,eduroam
wap-0563-68,44:12:44:6c:83:f2,IllinoisNet_Guest
wap-0563-68,44:12:44:6c:83:f1,eduroam
wap-0563-68,44:12:44:6c:83:f0,IllinoisNet
wap-0563-69,44:12:44:6d:92:72,IllinoisNet_Guest
wap-0563-69,44:12:44:6d:92:71,eduroam
wap-0563-69,44:12:44:6d:92:70,IllinoisNet
wap-0563-69,44:12:44:6d:92:51,eduroam
wap-0563-69,44:12:44:6d:92:50,IllinoisNet
wap-0563-69,44:12:44:6d:92:52,IllinoisNet_Guest
wap-0563-70,44:12:44:6b:91:70,IllinoisNet
wap-0563-70,44:12:44:6b:91:72,IllinoisNet_Guest
wap-0563-70,44:12:44:6b:91:71,eduroam
wap-0563-70,44:12:44:6b:91:52,IllinoisNet_Guest
wap-0563-70,44:12:44:6b:91:51,eduroam
wap-0563-70,44:12:44:6b:91:50,IllinoisNet
wap-0563-71,44:12:44:6c:d6:62,IllinoisNet_Guest
wap-0563-71,44:12:44:6c:d6:61,eduroam
wap-0563-71,44:12:44:6c:d6:60,IllinoisNet
wap-0563-71,44:12:44:6c:d6:42,IllinoisNet_Guest
wap-0563-71,44:12:44:6c:d6:40,IllinoisNet
wap-0563-71,44:12:44:6c:d6:41,eduroam
wap-0563-72,44:12:44:6d:13:20,IllinoisNet
wap-0563-72,44:12:44:6d:13:21,eduroam
wap-0563-72,44:12:44:6d:13:22,IllinoisNet_Guest
wap-0563-72,44:12:44:6d:13:01,eduroam
wap-0563-72,44:12:44:6d:13:00,IllinoisNet
wap-0563-72,44:12:44:6d:13:02,IllinoisNet_Guest
wap-0563-73,44:12:44:6c:37:c0,IllinoisNet
wap-0563-73,44:12:44:6c:37:c2,IllinoisNet_Guest
wap-0563-73,44:12:44:6c:37:c1,eduroam
wap-0563-73,44:12:44:6c:37:a0,IllinoisNet
wap-0563-73,44:12:44:6c:37:a1,eduroam
wap-0563-73,44:12:44:6c:37:a2,IllinoisNet_Guest
wap-0563-74,44:12:44:6e:97:40,IllinoisNet
wap-0563-74,44:12:44:6e:97:42,IllinoisNet_Guest
wap-0563-74,44:12:44:6e:97:41,eduroam
wap-0563-74,44:12:44:6e:97:22,IllinoisNet_Guest
wap-0563-74,44:12:44:6e:97:21,eduroam
wap-0563-74,44:12:44:6e:97:20,IllinoisNet
wap-0563-75,44:12:44:6e:18:50,IllinoisNet
