Access_Point_Name,BSSID-MAC,SSID-2.4_and_5

wap-0563-136,44:12:44:6a:91:51,eduroam

wap-0563-136,44:12:44:6a:91:52,IllinoisNet_Guest

wap-0563-136,44:12:44:6a:91:50,IllinoisNet

wap-0563-136,44:12:44:6a:91:30,IllinoisNet

wap-0563-136,44:12:44:6a:91:32,IllinoisNet_Guest

wap-0563-136,44:12:44:6a:91:31,eduroam

wap-0563-137,44:12:44:6d:7e:f1,eduroam

wap-0563-137,44:12:44:6d:7e:f0,IllinoisNet

wap-0563-137,44:12:44:6d:7e:f2,IllinoisNet_Guest

wap-0563-137,44:12:44:6d:7e:d2,IllinoisNet_Guest

wap-0563-137,44:12:44:6d:7e:d0,IllinoisNet

wap-0563-137,44:12:44:6d:7e:d1,eduroam

wap-0563-138,44:12:44:6e:e5:71,eduroam

wap-0563-138,44:12:44:6e:e5:72,IllinoisNet_Guest

wap-0563-138,44:12:44:6e:e5:70,IllinoisNet

wap-0563-138,44:12:44:6e:e5:52,IllinoisNet_Guest

wap-0563-138,44:12:44:6e:e5:51,eduroam

wap-0563-138,44:12:44:6e:e5:50,IllinoisNet

wap-0563-139,44:12:44:6c:3a:f2,IllinoisNet_Guest

wap-0563-139,44:12:44:6c:3a:f0,IllinoisNet

wap-0563-139,44:12:44:6c:3a:f1,eduroam

wap-0563-139,44:12:44:6c:3a:d1,eduroam

wap-0563-139,44:12:44:6c:3a:d0,IllinoisNet

wap-0563-139,44:12:44:6c:3a:d2,IllinoisNet_Guest

wap-0563-140,44:12:44:6e:6a:40,IllinoisNet

wap-0563-140,44:12:44:6e:6a:41,eduroam

wap-0563-140,44:12:44:6e:6a:42,IllinoisNet_Guest

wap-0563-140,44:12:44:6e:6a:20,IllinoisNet

wap-0563-140,44:12:44:6e:6a:21,eduroam

wap-0563-140,44:12:44:6e:6a:22,IllinoisNet_Guest

wap-0563-141,44:12:44:6b:70:a0,IllinoisNet

wap-0563-141,44:12:44:6b:70:a1,eduroam

wap-0563-141,44:12:44:6b:70:a2,IllinoisNet_Guest

wap-0563-141,44:12:44:6b:70:82,IllinoisNet_Guest

wap-0563-141,44:12:44:6b:70:81,eduroam

wap-0563-141,44:12:44:6b:70:80,IllinoisNet

wap-0563-142,44:12:44:6a:99:32,IllinoisNet_Guest

wap-0563-142,44:12:44:6a:99:31,eduroam

wap-0563-142,44:12:44:6a:99:30,IllinoisNet

wap-0563-142,44:12:44:6a:99:10,IllinoisNet

wap-0563-142,44:12:44:6a:99:12,IllinoisNet_Guest

wap-0563-142,44:12:44:6a:99:11,eduroam

wap-0563-143,44:12:44:6b:d8:20,IllinoisNet

wap-0563-143,44:12:44:6b:d8:22,IllinoisNet_Guest

wap-0563-143,44:12:44:6b:d8:21,eduroam

wap-0563-143,44:12:44:6b:d8:02,IllinoisNet_Guest

wap-0563-143,44:12:44:6b:d8:01,eduroam

wap-0563-143,44:12:44:6b:d8:00,IllinoisNet

wap-0563-144,44:12:44:6d:e6:72,IllinoisNet_Guest

wap-0563-144,44:12:44:6d:e6:71,eduroam

wap-0563-144,44:12:44:6d:e6:70,IllinoisNet

wap-0563-144,44:12:44:6d:e6:50,IllinoisNet

wap-0563-144,44:12:44:6d:e6:52,IllinoisNet_Guest

wap-0563-144,44:12:44:6d:e6:51,eduroam

wap-0563-145,44:12:44:69:c9:a2,IllinoisNet_Guest

wap-0563-145,44:12:44:69:c9:a1,eduroam

wap-0563-145,44:12:44:69:c9:a0,IllinoisNet

wap-0563-145,44:12:44:69:c9:82,IllinoisNet_Guest

wap-0563-145,44:12:44:69:c9:81,eduroam

wap-0563-145,44:12:44:69:c9:80,IllinoisNet

wap-0563-146,44:12:44:6d:59:a0,IllinoisNet

wap-0563-146,44:12:44:6d:59:a2,IllinoisNet_Guest

wap-0563-146,44:12:44:6d:59:a1,eduroam

wap-0563-146,44:12:44:6d:59:82,IllinoisNet_Guest

wap-0563-146,44:12:44:6d:59:81,eduroam

wap-0563-146,44:12:44:6d:59:80,IllinoisNet

wap-0563-147,44:12:44:6a:44:10,IllinoisNet

wap-0563-147,44:12:44:6a:44:12,IllinoisNet_Guest

wap-0563-147,44:12:44:6a:44:11,eduroam

wap-0563-147,44:12:44:6a:43:f2,IllinoisNet_Guest

wap-0563-147,44:12:44:6a:43:f1,eduroam

wap-0563-147,44:12:44:6a:43:f0,IllinoisNet

wap-0563-148,44:12:44:6c:54:40,IllinoisNet

wap-0563-148,44:12:44:6c:54:42,IllinoisNet_Guest

wap-0563-148,44:12:44:6c:54:41,eduroam

wap-0563-148,44:12:44:6c:54:20,IllinoisNet

wap-0563-148,44:12:44:6c:54:22,IllinoisNet_Guest

wap-0563-148,44:12:44:6c:54:21,eduroam

wap-0563-149,44:12:44:6d:ae:62,IllinoisNet_Guest

wap-0563-149,44:12:44:6d:ae:61,eduroam

wap-0563-149,44:12:44:6d:ae:60,IllinoisNet

wap-0563-149,44:12:44:6d:ae:40,IllinoisNet

