Access_Point_Name,BSSID-MAC,SSID-2.4_and_5
wap-0563-01,44:12:44:6d:d8:00,IllinoisNet
wap-0563-01,44:12:44:6d:d8:02,IllinoisNet_Guest
wap-0563-01,44:12:44:6d:d8:01,eduroam
wap-0563-01,44:12:44:6d:d7:e2,IllinoisNet_Guest
wap-0563-01,44:12:44:6d:d7:e1,eduroam
wap-0563-01,44:12:44:6d:d7:e0,IllinoisNet
wap-0563-02,44:12:44:69:ea:42,IllinoisNet_Guest
wap-0563-02,44:12:44:69:ea:41,eduroam
wap-0563-02,44:12:44:69:ea:40,IllinoisNet
wap-0563-02,44:12:44:69:ea:22,IllinoisNet_Guest
wap-0563-02,44:12:44:69:ea:21,eduroam
wap-0563-02,44:12:44:69:ea:20,IllinoisNet
wap-0563-03,44:12:44:69:66:10,IllinoisNet
wap-0563-03,44:12:44:69:66:12,IllinoisNet_Guest
wap-0563-03,44:12:44:69:66:11,eduroam
wap-0563-03,44:12:44:69:65:f1,eduroam
wap-0563-03,44:12:44:69:65:f2,IllinoisNet_Guest
wap-0563-03,44:12:44:69:65:f0,IllinoisNet
wap-0563-04,44:12:44:6d:0e:40,IllinoisNet
wap-0563-04,44:12:44:6d:0e:41,eduroam
wap-0563-04,44:12:44:6d:0e:42,IllinoisNet_Guest
wap-0563-04,44:12:44:6d:0e:22,IllinoisNet_Guest
wap-0563-04,44:12:44:6d:0e:21,eduroam
wap-0563-04,44:12:44:6d:0e:20,IllinoisNet
wap-0563-05,44:12:44:6e:b2:d0,IllinoisNet
wap-0563-05,44:12:44:6e:b2:d1,eduroam
wap-0563-05,44:12:44:6e:b2:d2,IllinoisNet_Guest
wap-0563-05,44:12:44:6e:b2:b1,eduroam
wap-0563-05,44:12:44:6e:b2:b0,IllinoisNet
wap-0563-05,44:12:44:6e:b2:b2,IllinoisNet_Guest
wap-0563-06,44:12:44:6b:d3:41,eduroam
wap-0563-06,44:12:44:6b:d3:40,IllinoisNet
wap-0563-06,44:12:44:6b:d3:42,IllinoisNet_Guest
wap-0563-06,44:12:44:6b:d3:22,IllinoisNet_Guest
wap-0563-06,44:12:44:6b:d3:21,eduroam
wap-0563-06,44:12:44:6b:d3:20,IllinoisNet
wap-0563-07,44:12:44:69:f0:a1,eduroam
wap-0563-07,44:12:44:69:f0:a2,IllinoisNet_Guest
wap-0563-07,44:12:44:69:f0:a0,IllinoisNet
wap-0563-07,44:12:44:69:f0:80,IllinoisNet
wap-0563-07,44:12:44:69:f0:81,eduroam
wap-0563-07,44:12:44:69:f0:82,IllinoisNet_Guest
wap-0563-08,44:12:44:6b:77:60,IllinoisNet
wap-0563-08,44:12:44:6b:77:61,eduroam
wap-0563-08,44:12:44:6b:77:62,IllinoisNet_Guest
wap-0563-08,44:12:44:6b:77:42,IllinoisNet_Guest
wap-0563-08,44:12:44:6b:77:41,eduroam
wap-0563-08,44:12:44:6b:77:40,IllinoisNet
wap-0563-09,44:12:44:69:e3:82,IllinoisNet_Guest
wap-0563-09,44:12:44:69:e3:81,eduroam
wap-0563-09,44:12:44:69:e3:80,IllinoisNet
wap-0563-09,44:12:44:69:e3:62,IllinoisNet_Guest
wap-0563-09,44:12:44:69:e3:61,eduroam
wap-0563-09,44:12:44:69:e3:60,IllinoisNet
wap-0563-10,44:12:44:6b:c3:50,IllinoisNet
wap-0563-10,44:12:44:6b:c3:51,eduroam
wap-0563-10,44:12:44:6b:c3:52,IllinoisNet_Guest
wap-0563-10,44:12:44:6b:c3:30,IllinoisNet
wap-0563-10,44:12:44:6b:c3:31,eduroam
wap-0563-10,44:12:44:6b:c3:32,IllinoisNet_Guest
wap-0563-100,44:12:44:6d:9e:d2,IllinoisNet_Guest
wap-0563-100,44:12:44:6d:9e:d1,eduroam
wap-0563-100,44:12:44:6d:9e:d0,IllinoisNet
wap-0563-100,44:12:44:6d:9e:b2,IllinoisNet_Guest
wap-0563-100,44:12:44:6d:9e:b1,eduroam
wap-0563-100,44:12:44:6d:9e:b0,IllinoisNet
wap-0563-101,44:12:44:6d:2d:30,IllinoisNet
wap-0563-101,44:12:44:6d:2d:32,IllinoisNet_Guest
wap-0563-101,44:12:44:6d:2d:31,eduroam
wap-0563-101,44:12:44:6d:2d:12,IllinoisNet_Guest
wap-0563-101,44:12:44:6d:2d:11,eduroam
wap-0563-101,44:12:44:6d:2d:10,IllinoisNet
wap-0563-102,44:12:44:6c:1a:b2,IllinoisNet_Guest
