Access Point Name,MAC ADDRESS,Room
wap-0563-01,44:12:44:ce:dd:7e,R:O0209
wap-0563-02,44:12:44:ce:9e:a2,R:0211
wap-0563-03,44:12:44:ce:96:5f,R:0219
wap-0563-04,44:12:44:ce:d0:e2,R:0216
wap-0563-05,44:12:44:ce:eb:2b,R:0216
wap-0563-06,44:12:44:ce:bd:32,R:0216
wap-0563-07,44:12:44:ce:9f:08,R:0202
wap-0563-08,44:12:44:ce:b7:74,R:0218
wap-0563-09,44:12:44:ce:9e:36,R:0220
wap-0563-10,44:12:44:ce:bc:33,R:0220
wap-0563-100,44:12:44:ce:d9:eb,R:3111
wap-0563-101,44:12:44:ce:d2:d1,R:3107
wap-0563-102,44:12:44:ce:c1:a9,R:3101
wap-0563-103,44:12:44:ce:b3:a5,R:3126
wap-0563-104,44:12:44:ce:b0:27,R:3111
wap-0563-105,44:12:44:ce:9f:44,R:3107
wap-0563-106,44:12:44:ce:bb:e2,R:3103
wap-0563-107,44:12:44:ce:db:35,R:3124
wap-0563-108,44:12:44:ce:a5:a7,R:3120
wap-0563-109,44:12:44:ce:d0:2b,R:3114
wap-0563-11,44:12:44:ce:e0:c0,R:0224
wap-0563-110,44:12:44:ce:a8:2f,R:3106
wap-0563-111,44:12:44:ce:a7:4b,R:3101
wap-0563-112,44:12:44:ce:e1:0b,R:3209
wap-0563-113,44:12:44:ce:e5:be,R:3215
wap-0563-114,44:12:44:ce:ae:e3,R:3219
wap-0563-115,44:12:44:ce:b3:90,R:3216
wap-0563-116,44:12:44:ce:ec:2d,R:3222
wap-0563-117,44:12:44:ce:d2:e0,R:3232
wap-0563-118,44:12:44:ce:ef:4e,R:3238A
wap-0563-119,44:12:44:ce:d1:de,R:3240
wap-0563-12,44:12:44:ce:cc:44,R:0224
wap-0563-120,44:12:44:ce:ea:17,R:3227
wap-0563-121,44:12:44:ce:c7:70,R:3235
wap-0563-122,44:12:44:ce:b0:03,R:3301
wap-0563-123,44:12:44:ce:a6:8e,R:3401
wap-0563-124,44:12:44:ce:aa:ff,R:3403
wap-0563-125,44:12:44:ce:c1:fa,R:3405
wap-0563-126,44:12:44:ce:cc:56,R:3407
wap-0563-127,44:12:44:ce:b5:dc,R:3307
wap-0563-128,44:12:44:ce:c0:9e,R:3333
wap-0563-129,44:12:44:ce:b0:33,R:3340
wap-0563-13,44:12:44:ce:a7:72,R:O0228
wap-0563-130,44:12:44:ce:dc:55,R:3307A
wap-0563-131,44:12:44:ce:97:5e,R:3326
wap-0563-132,44:12:44:ce:a4:cc,R:3332
wap-0563-133,44:12:44:ce:b8:c7,R:3306
wap-0563-134,44:12:44:ce:b6:33,R:3312
wap-0563-135,44:12:44:ce:bd:b9,R:3320
wap-0563-136,44:12:44:ce:a9:13,R:4111
wap-0563-137,44:12:44:ce:d7:ed,R:4111
wap-0563-138,44:12:44:ce:ee:55,R:4103
wap-0563-139,44:12:44:ce:c3:ad,R:4103
wap-0563-14,44:12:44:ce:e6:cf,R:O0402
wap-0563-140,44:12:44:ce:e6:a2,R:4126
wap-0563-141,44:12:44:ce:b7:08,R:4111
wap-0563-142,44:12:44:ce:a9:91,R:4107
wap-0563-143,44:12:44:ce:bd:80,R:4105
wap-0563-144,44:12:44:ce:de:65,R:4124
wap-0563-145,44:12:44:ce:9c:98,R:4120
wap-0563-146,44:12:44:ce:d5:98,R:4114
wap-0563-147,44:12:44:ce:a4:3f,R:4106
wap-0563-148,44:12:44:ce:c5:42,R:4102
wap-0563-149,44:12:44:ce:da:e4,R:4207
wap-0563-15,44:12:44:ce:c4:22,R:320
wap-0563-150,44:12:44:ce:e1:08,R:4213
wap-0563-151,44:12:44:ce:a1:18,R:0151
wap-0563-152,44:12:44:ce:c7:8b,R:4216
wap-0563-153,44:12:44:ce:af:19,R:4222
wap-0563-154,44:12:44:ce:be:43,R:4230
wap-0563-155,44:12:44:ce:d3:58,R:4234
wap-0563-156,44:12:44:ce:9f:b6,R:4240
wap-0563-157,44:12:44:ce:e2:dc,R:4227
wap-0563-158,44:12:44:ce:d4:99,R:4235
wap-0563-159,44:12:44:ce:a6:3a,R:4401
wap-0563-16,44:12:44:ce:b9:1b,R:320
wap-0563-160,44:12:44:ce:bc:ea,R:4403
wap-0563-161,74:9e:75:cc:5d:34,R:4405
wap-0563-162,44:12:44:ce:c5:5a,R:4407
wap-0563-163,94:64:24:c1:b0:76,R:4301A
wap-0563-164,44:12:44:ce:c3:b3,R:4307A
wap-0563-165,44:12:44:ce:a0:97,R:4325
wap-0563-166,44:12:44:ce:c3:b0,R:4333
wap-0563-167,44:12:44:ce:d1:ed,R:4306
wap-0563-168,44:12:44:ce:eb:9a,R:4314
wap-0563-169,94:64:24:c4:42:2d,R:4320
wap-0563-17,94:64:24:c1:ae:93,R:403
wap-0563-170,44:12:44:ce:d0:85,R:4328
wap-0563-171,44:12:44:ce:c8:57,R:4336
wap-0563-172,44:12:44:ce:e4:0b,R:0403
wap-0563-18,44:12:44:ce:e8:cd,R:0405
wap-0563-19,44:12:44:ce:ec:54,R:0222
wap-0563-20,44:12:44:ce:c5:06,R:1129
wap-0563-21,44:12:44:ce:e3:ff,R:1123
wap-0563-22,44:12:44:ce:ae:b0,R:1117
wap-0563-23,44:12:44:ce:cc:6e,R:1111
wap-0563-24,44:12:44:ce:a5:86,R:1131
wap-0563-25,44:12:44:ce:99:dd,R:1109
wap-0563-26,44:12:44:ce:9b:e1,R:1105
wap-0563-27,44:12:44:ce:e2:a0,R:1103
wap-0563-28,44:12:44:ce:95:51,R:1112
wap-0563-29,44:12:44:ce:d9:28,R:1110
wap-0563-30,44:12:44:ce:e2:f1,R:1106
wap-0563-31,44:12:44:ce:a5:7d,R:1104
wap-0563-32,44:12:44:ce:e0:75,R:O1104
wap-0563-33,44:12:44:ce:d3:9a,R:O1104
wap-0563-34,44:12:44:ce:a0:5b,R:O1214
wap-0563-35,44:12:44:ce:bd:a7,R:1218
wap-0563-36,44:12:44:ce:de:bf,R:1210
wap-0563-37,44:12:44:ce:dc:d9,R:1214
wap-0563-38,44:12:44:ce:a6:7f,R:1224
wap-0563-39,44:12:44:ce:cc:7a,R:1228
wap-0563-40,44:12:44:ce:ad:06,R:1234
wap-0563-41,44:12:44:ce:97:04,R:1304
wap-0563-42,44:12:44:ce:96:11,R:O1332
wap-0563-43,44:12:44:ce:eb:f4,R:1302
wap-0563-44,44:12:44:ce:d1:6c,R:1302
wap-0563-45,44:12:44:ce:d8:2f,R:1304
wap-0563-46,44:12:44:ce:d9:b2,R:1304
wap-0563-47,44:12:44:ce:c7:fd,R:1330
wap-0563-48,44:12:44:ce:b8:f4,R:1334
wap-0563-49,44:12:44:ce:a4:bd,R:1314
wap-0563-50,44:12:44:ce:ef:87,R:1318
wap-0563-51,44:12:44:ce:d9:7f,R:1322
wap-0563-52,44:12:44:ce:9a:f7,R:1324B
wap-0563-53,44:12:44:ce:d5:4d,R:1404
wap-0563-54,44:12:44:ce:d6:04,R:1404
wap-0563-55,44:12:44:ce:b0:36,R:1404
wap-0563-56,44:12:44:ce:9b:b4,R:1404
wap-0563-57,44:12:44:ce:b3:4e,R:1404
wap-0563-58,44:12:44:ce:95:8a,R:1404
wap-0563-59,44:12:44:ce:b6:81,R:2134
wap-0563-60,44:12:44:ce:e7:b0,R:2113A
wap-0563-61,44:12:44:ce:a7:66,R:2111A
wap-0563-62,44:12:44:ce:d3:f7,R:2107
wap-0563-63,44:12:44:ce:c0:b0,R:2101
wap-0563-64,44:12:44:ce:a6:1c,R:2128
wap-0563-65,44:12:44:ce:a1:57,R:2119
wap-0563-66,44:12:44:ce:ad:93,R:2113
wap-0563-67,44:12:44:ce:d5:bf,R:2109
wap-0563-68,44:12:44:ce:c8:3f,R:2105
wap-0563-69,44:12:44:ce:d9:25,R:2124
wap-0563-70,44:12:44:ce:b9:15,R:2120
wap-0563-71,44:12:44:ce:cd:64,R:2114
wap-0563-72,44:12:44:ce:d1:30,R:2108
wap-0563-73,44:12:44:ce:c3:7a,R:2101
wap-0563-74,44:12:44:ce:e9:72,R:2211
wap-0563-75,44:12:44:ce:e1:83,R:2217
wap-0563-76,44:12:44:ce:ac:a9,R:2214
wap-0563-77,44:12:44:ce:cc:f2,R:2220
wap-0563-78,44:12:44:ce:bb:d0,R:2226
wap-0563-79,44:12:44:ce:9a:6a,R:2244
wap-0563-80,44:12:44:ce:c9:83,R:2210
wap-0563-81,44:12:44:ce:ea:32,R:2238
wap-0563-82,44:12:44:ce:eb:f1,R:2227
wap-0563-83,44:12:44:ce:d8:2c,R:2231
wap-0563-84,44:12:44:ce:a2:9b,R:2237
wap-0563-85,44:12:44:ce:e6:8a,R:2400D
wap-0563-86,44:12:44:ce:a0:be,R:2401
wap-0563-87,44:12:44:ce:c3:89,R:2405
wap-0563-88,44:12:44:ce:d3:25,R:2405
wap-0563-89,44:12:44:ce:e7:53,R:2407
wap-0563-90,44:12:44:ce:b9:60,R:2301
wap-0563-91,44:12:44:ce:9e:12,R:2301
wap-0563-92,44:12:44:ce:c7:0a,R:O2315
wap-0563-93,44:12:44:ce:9b:0f,R:2400A
wap-0563-94,44:12:44:ce:e1:77,R:2248
wap-0563-95,44:12:44:ce:98:84,R:2314
wap-0563-96,44:12:44:ce:aa:66,R:2322
wap-0563-97,44:12:44:ce:9b:66,R:O2328
wap-0563-98,44:12:44:ce:eb:d0,R:2336
wap-0563-99,44:12:44:ce:be:fd,R:3113
wapo-0563-01,cc:88:c7:cf:46:9e,R:OUTDOOR
wapo-0563-02,48:2f:6b:c0:31:a8,R:OUTDOOR
wapo-0563-03,cc:88:c7:cf:48:94,R:OUTDOOR
wapo-0563-04,c8:b5:ad:c2:eb:06,R:OUTDOOR
