SSID,BSSID,mean,count
IllinoisNet,44:12:44:69:65:f0:,-77.0,1
IllinoisNet,44:12:44:69:66:10:,-80.66666666666667,3
IllinoisNet,44:12:44:69:70:40:,-71.5,2
IllinoisNet,44:12:44:69:70:60:,-71.66666666666667,3
IllinoisNet,44:12:44:69:e3:60:,-81.0,1
IllinoisNet,44:12:44:69:e3:80:,-87.0,1
IllinoisNet,44:12:44:6a:05:b0:,-63.0,2
IllinoisNet,44:12:44:6a:05:d0:,-59.0,1
IllinoisNet,44:12:44:6a:4b:f0:,-77.5,2
IllinoisNet,44:12:44:6a:57:d0:,-80.0,2
IllinoisNet,44:12:44:6a:57:f0:,-76.0,2
IllinoisNet,44:12:44:6a:77:20:,-80.66666666666667,3
IllinoisNet,44:12:44:6a:77:40:,-80.5,2
IllinoisNet,44:12:44:6a:d0:80:,-73.5,2
IllinoisNet,44:12:44:6b:c3:30:,-86.0,1
IllinoisNet,44:12:44:6c:c7:a0:,-84.0,1
IllinoisNet,44:12:44:6c:c7:c0:,-82.0,1
IllinoisNet,44:12:44:6d:16:c0:,-69.0,1
IllinoisNet,44:12:44:6d:16:e0:,-71.0,1
IllinoisNet,44:12:44:6d:39:a0:,-63.5,2
IllinoisNet,44:12:44:6d:39:c0:,-63.0,2
IllinoisNet,44:12:44:6d:82:f0:,-77.5,2
IllinoisNet,44:12:44:6d:83:10:,-77.5,2
IllinoisNet,44:12:44:6d:9b:20:,-81.0,2
IllinoisNet,44:12:44:6d:9b:40:,-78.0,2
IllinoisNet,44:12:44:6d:cd:90:,-68.5,2
IllinoisNet,44:12:44:6d:cd:b0:,-65.0,2
IllinoisNet,44:12:44:6d:eb:f0:,-72.66666666666667,3
IllinoisNet,44:12:44:6d:ec:10:,-73.0,2
IllinoisNet,44:12:44:6e:07:50:,-65.0,1
IllinoisNet,44:12:44:6e:07:70:,-69.5,2
IllinoisNet,44:12:44:6e:68:a0:,-83.0,1
IllinoisNet,44:12:44:6e:68:c0:,-84.0,1
IllinoisNet,44:12:44:6e:6c:f0:,-84.0,1
IllinoisNet,44:12:44:6e:bf:40:,-72.66666666666667,3
IllinoisNet,44:12:44:6e:bf:60:,-71.0,3
IllinoisNet,44:12:44:6e:f8:70:,-81.5,2
IllinoisNet,44:12:44:6e:f8:90:,-78.5,2
eduroam,44:12:44:69:65:f1:,-79.0,2
eduroam,44:12:44:69:66:11:,-80.5,2
eduroam,44:12:44:69:70:41:,-69.0,1
eduroam,44:12:44:69:70:61:,-71.66666666666667,3
eduroam,44:12:44:69:e3:61:,-84.0,1
eduroam,44:12:44:6a:05:b1:,-62.0,2
eduroam,44:12:44:6a:05:d1:,-59.0,1
eduroam,44:12:44:6a:4b:d1:,-81.0,1
eduroam,44:12:44:6a:4b:f1:,-76.0,1
eduroam,44:12:44:6a:57:d1:,-78.0,3
eduroam,44:12:44:6a:57:f1:,-76.5,2
eduroam,44:12:44:6a:77:21:,-82.0,3
eduroam,44:12:44:6a:77:41:,-80.5,2
eduroam,44:12:44:6a:d0:81:,-73.5,2
eduroam,44:12:44:6b:96:01:,-81.0,1
eduroam,44:12:44:6c:c7:a1:,-84.0,1
eduroam,44:12:44:6c:c7:c1:,-82.0,1
eduroam,44:12:44:6d:16:c1:,-70.5,2
eduroam,44:12:44:6d:16:e1:,-71.5,2
eduroam,44:12:44:6d:39:a1:,-62.5,2
eduroam,44:12:44:6d:39:c1:,-61.0,2
eduroam,44:12:44:6d:82:f1:,-75.5,2
eduroam,44:12:44:6d:83:11:,-77.5,2
eduroam,44:12:44:6d:9b:21:,-81.0,1
eduroam,44:12:44:6d:9b:41:,-78.5,2
eduroam,44:12:44:6d:cd:91:,-67.0,1
eduroam,44:12:44:6d:cd:b1:,-64.66666666666667,3
eduroam,44:12:44:6d:eb:f1:,-72.33333333333333,3
eduroam,44:12:44:6d:ec:11:,-72.33333333333333,3
eduroam,44:12:44:6e:07:51:,-61.0,2
eduroam,44:12:44:6e:07:71:,-72.0,2
eduroam,44:12:44:6e:68:c1:,-83.0,1
eduroam,44:12:44:6e:bf:41:,-72.0,2
eduroam,44:12:44:6e:bf:61:,-70.0,2
eduroam,44:12:44:6e:f8:71:,-77.5,2
eduroam,44:12:44:6e:f8:91:,-79.0,2
