SSID,BSSID,Signal Strength,current BSSID,x,y
IllinoisNet,44:12:44:6b:03:60,-86,0,1,55
IllinoisNet,44:12:44:6a:4b:d0,-72,0,1,55
IllinoisNet,44:12:44:6a:0b:e0,-84,0,1,55
IllinoisNet,44:12:44:6d:54:d0,-85,0,1,55
IllinoisNet,44:12:44:69:e3:60,-86,0,1,55
IllinoisNet,44:12:44:6b:96:00,-79,0,1,55
IllinoisNet,44:12:44:6c:c7:a0,-80,0,1,55
IllinoisNet,44:12:44:6b:77:40,-85,0,1,55
IllinoisNet,44:12:44:6a:57:d0,-74,0,1,55
IllinoisNet,cc:88:c7:74:69:f2,-87,0,1,55
IllinoisNet,44:12:44:6a:77:20,-84,0,1,55
IllinoisNet,44:12:44:6e:f8:70,-81,0,1,55
IllinoisNet,44:12:44:6d:9b:20,-79,0,1,55
IllinoisNet,44:12:44:6d:39:a0,-53,0,1,55
IllinoisNet,44:12:44:6e:b2:d0,-86,0,1,55
IllinoisNet,44:12:44:6a:05:d0,-53,1,1,55
IllinoisNet,44:12:44:6a:4b:f0,-79,0,1,55
IllinoisNet,44:12:44:69:e1:40,-81,0,1,55
IllinoisNet,44:12:44:6d:9b:40,-73,0,1,55
IllinoisNet,44:12:44:69:70:60,-68,0,1,55
IllinoisNet,44:12:44:6b:c3:50,-87,0,1,55
IllinoisNet,44:12:44:6a:d0:80,-73,0,1,55
IllinoisNet,44:12:44:69:66:10,-78,0,1,55
IllinoisNet,44:12:44:6d:16:c0,-68,0,1,55
IllinoisNet,44:12:44:6e:07:50,-67,0,1,55
IllinoisNet,44:12:44:6d:eb:f0,-65,0,1,55
IllinoisNet,44:12:44:6d:cd:90,-65,0,1,55
IllinoisNet,44:12:44:6a:05:b0,-57,0,1,55
IllinoisNet,44:12:44:6e:bf:40,-68,0,1,55
IllinoisNet,44:12:44:6b:03:60,-86,0,1,55
IllinoisNet,44:12:44:6a:4b:d0,-72,0,1,55
IllinoisNet,44:12:44:6a:0b:e0,-84,0,1,55
IllinoisNet,44:12:44:6d:54:d0,-85,0,1,55
IllinoisNet,44:12:44:69:e3:60,-86,0,1,55
IllinoisNet,44:12:44:6b:96:00,-79,0,1,55
IllinoisNet,44:12:44:6c:c7:a0,-80,0,1,55
IllinoisNet,44:12:44:6b:77:40,-85,0,1,55
IllinoisNet,44:12:44:6a:57:d0,-74,0,1,55
IllinoisNet,cc:88:c7:74:69:f2,-87,0,1,55
IllinoisNet,44:12:44:6a:77:20,-84,0,1,55
IllinoisNet,44:12:44:6e:f8:70,-81,0,1,55
IllinoisNet,44:12:44:6d:9b:20,-79,0,1,55
IllinoisNet,44:12:44:6d:39:a0,-53,0,1,55
IllinoisNet,44:12:44:6e:b2:d0,-86,0,1,55
IllinoisNet,44:12:44:6a:05:d0,-53,1,1,55
IllinoisNet,44:12:44:6a:4b:f0,-79,0,1,55
IllinoisNet,44:12:44:69:e1:40,-81,0,1,55
IllinoisNet,44:12:44:6d:9b:40,-73,0,1,55
IllinoisNet,44:12:44:69:70:60,-68,0,1,55
IllinoisNet,44:12:44:6b:c3:50,-87,0,1,55
IllinoisNet,44:12:44:6a:d0:80,-73,0,1,55
IllinoisNet,44:12:44:69:66:10,-78,0,1,55
IllinoisNet,44:12:44:6d:16:c0,-68,0,1,55
IllinoisNet,44:12:44:6e:07:50,-67,0,1,55
IllinoisNet,44:12:44:6d:eb:f0,-65,0,1,55
IllinoisNet,44:12:44:6d:cd:90,-65,0,1,55
IllinoisNet,44:12:44:6a:05:b0,-57,0,1,55
IllinoisNet,44:12:44:6e:bf:40,-68,0,1,55
