BSSID,Sinal_strength
wap-0563-37,44:12:44:6d:cd:b1,-60.666666666666664
wap-0563-46,44:12:44:6d:9b:41,-67.0
wap-0563-48,44:12:44:6b:8f:61,-66.75
wap-0563-42,44:12:44:69:61:31,-64.99999999999999
wap-0563-36,44:12:44:6d:ec:11,-62.0
wap-0563-31,44:12:44:6a:57:f1,-59.583333333333336
wap-0563-35,44:12:44:6b:da:91,-52.0
wap-0563-26,44:12:44:69:be:31,-58.2
wap-0563-21,44:12:44:6e:40:11,-54.0
wap-0563-24,44:12:44:6a:58:81,-58.666666666666664
wap-0563-25,44:12:44:69:9d:f1,-63.333333333333336
wap-0563-34,44:12:44:6a:05:d1,-49.44444444444444
wap-0563-57,44:12:44:6b:35:01,-60.375
wap-0563-54,44:12:44:6d:60:61,-44.333333333333336
wap-0563-41,44:12:44:69:70:61,-55.55555555555556
Unknown,48:2f:6b:83:1a:91,-71.5
wap-0563-28,44:12:44:69:55:11,-73.33333333333333
wap-0563-24,44:12:44:6a:58:61,-71.0
Unknown,cc:88:c7:74:69:e1,-77.0
Unknown,cc:88:c7:74:69:f1,-66.4
